ab,abk,abchazština,Abkhaz
,ach,,Acoli
,ada,,Adangme
,ady,adygejština,Adygei
aa,aar,afarština,Afar
,afh,afrihili,Afrihili (Artificial language)
af,afr,afrikánština,Afrikaans
,afa,afroasijské jazyky (jiné),Afroasiatic (Other)
,ace,,Achinese
,aka,,Akan
,akk,akkadština,Akkadian
sq,alb,albánština,Albanian
,ale,aleutština,Aleut
,alg,algonkinské jazyky (jiné),Algonquian (Other)
,ajm,,Aljamía
,tut,altajské jazyky (jiné),Altaic (Other)
am,amh,amharština,Amharic
,apa,apačské jazyky,Apache languages
ar,ara,arabština,Arabic
,arg,aragonština,Aragonese Spanish
,arc,aramejština,Aramaic
,arp,,Arapaho
,arw,,Arawak
hy,arm,arménština,Armenian
,art,umělé jazyky (jiné),Artificial (Other)
as,asm,ásámština,Assamese
,ath,,Athapascan (Other)
,aus,australské jazyky,Australian languages
,map,austronéské jazyky (jiné),Austronesian (Other)
,ava,avarština,Avaric
,ave,,Avestan
,awa,,Awadhi
ay,aym,ajmarština,Aymara
az,aze,ázerbajdžánština,Azerbaijani
,ast,,Bable
,ban,balijština,Balinese
,bat,baltské jazyky (jiné),Baltic (Other)
,bal,balúčština,Baluchi
,bam,,Bambara
,bai,,Bamileke languages
,bad,,Banda
,bnt,bantuské jazyky (jiné),Bantu (Other)
,bas,,Basa
ba,bak,baškirština,Bashkir
eu,baq,baskičtina,Basque
,btk,batačtina,Batak
,bej,,Beja
be,bel,běloruština,Belarusian
,bem,,Bemba
bn,ben,bengálština,Bengali
,ber,berberské jazyky (jiné),Berber (Other)
,bho,,Bhojpuri
dz,dzo,bhútánština (dzongkha?),Bhutani (Dzongkha?)
bh,bih,bihárština,Bihari
,bik,,Bikol
bi,bis,,Bislama
sh,bos,bosenština (srbochorvatština?),Bosnian (Serbo-Croatian?)
,bra,,Braj
br,bre,bretonština,Breton
,bug,,Bugis
bg,bul,bulharština,Bulgarian
,bua,burjatština,Buriat
my,bur,barmština,Burmese
,cad,,Caddo
,car,karibština,Carib
ca,cat,katalánština,Catalan
,cau,kavkazské jazyky (jiné),Caucasian (Other)
,ceb,,Cebuano
,cel,keltské jazyky (jiné),Celtic (Other)
,cai,středoamerické indiánské jazyky (jiné),Central American Indian (Other)
,cop,koptština,Coptic
,cor,,Cornish
co,cos,korsičtina,Corsican
,cre,krí,Cree
,mus,,Creek
,crp,,Creoles and Pidgins (Other)
,cpe,,Creoles and Pidgins, English-based (Other)
,cpf,,Creoles and Pidgins, French-based (Other)
,cpp,,Creoles and Pidgins, Portuguese-based (Other)
,crh,krymská tatarština,Crimean Tatar
hr,scr,chorvatština,Croatian
,cus,kúšitské jazyky (jiné),Cushitic (Other)
cs,cze,čeština,Czech
,dak,dakotština,Dakota
da,dan,dánština,Danish
,dar,,Dargwa
,day,dajáčtina,Dayak
,del,,Delaware
,din,,Dinka
,div,,Divehi
,doi,,Dogri
,dgr,,Dogrib
,dra,drávidské jazyky (jiné),Dravidian (Other)
,dua,,Duala
nl,dut,nizozemština (holandština),Dutch
,dum,středoholandština,Dutch, Middle (ca. 1050-1350)
,dyu,,Dyula
,bin,,Edo
,efi,,Efik
,egy,egyptština,Egyptian
,eka,,Ekajuk
,elx,elamitština,Elamite
en,eng,angličtina,English
,enm,středoangličtina,English, Middle (1100-1500)
,ang,staroangličtina,English, Old (ca. 450-1100)
,esk,eskymácké jazyky,Eskimo languages
eo,epo ,esperanto,Esperanto
et,est,estonština,Estonian
,gez ,,Ethiopic
,ewe,,Ewe
,ewo,,Ewondo
,fan,,Fang
,fat,,Fanti
fo,fao ,faerština,Faroese
fj,fij,fidžijština,Fijian
fi,fin,finština,Finnish
,fiu,ugrofinské jazyky (jiné),Finno-Ugrian (Other)
,fon,,Fon
fr,fre,francouzština,French
,frm,středofrancouzština,French, Middle (ca. 1400-1600)
,fro,starofrancouzština,French, Old (ca. 842-1400)
fy,fry,fríština,Frisian
,fur,furlandština,Friulian
,ful,,Fula
,gaa,,Gă
gl,glg,galicijština,Galician
,lug,,Ganda
,gay,,Gayo
,gba,,Gbaya
ka,geo,gruzínština,Georgian
de,ger,němčina,German
,gmh,střední hornoněmčina,German, Middle High (ca. 1050-1500)
,goh,stará hornoněmčina,German, Old High (ca. 750-1050)
,gem,germánské jazyky (jiné),Germanic (Other)
,gil,,Gilbertese
,gon,,Gondi
,gor,,Gorontalo
,got,gótština,Gothic
,grb,,Grebo
,grc,starořečtina,Greek, Ancient (to 1453)
el,gre,řečtina,Greek, Modern (1453-)
gn,grn ,guaraní,Guarani
gu,guj,gudžarátština,Gujarati
,gwi,,Gwich'in
,hai,,Haida
,hat,,Haitian French Creole
ha,hau,hausa,Hausa
,haw,havajština,Hawaiian
he ,heb,hebrejština,Hebrew
,her,,Herero
,hil,,Hiligaynon
,him,himáčalština,Himachali
hi,hin,hindština,Hindi
,hmo,,Hiri Motu
,hit,,Hittite
,hmn,,Hmong
hu,hun,maďarština,Hungarian
,hup,,Hupa
,chg,,Chagatai
,cmc,,Chamic languages
,cha,,Chamorro
,che,čečenština,Chechen
,chr,,Cherokee
,chy,čejenština,Cheyenne
,chb,čibča,Chibcha
zh,chi,čínština,Chinese
,chn,,Chinook jargon
,chp,,Chipewyan
,cho,,Choctaw
,chu,staroslověnština,Church Slavic
,chv,čuvašština,Chuvash
,iba,,Iban
is,ice,islandština,Icelandic
,ido,,Ido
,ibo,,Igbo
,ijo,,Ijo
,ilo,,Iloko
,smn,,Inari Sami
,inc,indické jazyky (jiné),Indic (Other)
,ine,indoevropské jazyky (jiné),Indo-European (Other)
id ,ind,indonéština,Indonesian
,inh,inguština,Ingush
ia,ina,interlingua,Interlingua (International Auxiliary Language Association)
ie,ile,,Interlingue
iu,iku,,Inuktitut
ik,ipk,,Inupiak (Inupiaq)
,ira,íránské jazyky (jiné),Iranian (Other)
ga,gle ,irština,Irish
,mga,středoirština,Irish, Middle (ca. 1100-1550)
,sga,staroirština,Irish, Old (to 1100)
,iro,irokézské jazyky (jiné),Iroquoian (Other)
it,ita,italština,Italian
ja,jpn,japonština,Japanese
jw,jav,javánština,Javanese
,jrb,,Judeo-Arabic
,jpr,,Judeo-Persian
,kbd,kabardinština,Kabardian
,kab,kabylština,Kabyle
,kac,,Kachin
kl,kal,grónština?,Kalâtdlisut (Greenlandic?)
,xal,kalmyčtina,Kalmyk
,kam,,Kamba
kn,kan,kannadština,Kannada
,kau,,Kanuri
,kaa,karakalpačtina,Kara-Kalpak
,kar,karenština,Karen
ks,kas,kašmírština,Kashmiri
,kaw,,Kawi
kk,kaz,kazaština,Kazakh
,kha,,Khasi
,cam,khmerština,Khmer
km,khm,khmerština (kambodžština),Khmer (Cambodian)
,khi,khoisanské jazyky (jiné),Khoisan (Other)
,kho,,Khotanese
,kik,kikujština,Kikuyu
,kmb,,Kimbundu
rw,kin,rwandština,Kinyarwanda
ky,kir,kirgizština,Kirghiz (Kyrgyz)
,kom,komijština,Komi
,kon,,Kongo
,kok,,Konkani
ko,kor,korejština,Korean
,kpe,,Kpelle
,kro,,Kru
,kua,,Kuanyama
,kum,,Kumyk
ku,kur,kurdština,Kurdish
,kru,,Kurukh
,kos ,,Kusaie
,kut,,Kutenai
,lad,,Ladino
,lah,,Lahnda
,lam,,Lamba
lo,lao,laoština,Laothian (Lao)
la,lat,latina,Latin
lv,lav,lotyšština,Latvian
,ltz,lucemburština,Letzeburgesch
,lez,lezginština,Lezgian
,lim,,Limburgish
ln,lin,lingala,Lingala
lt,lit,litevština,Lithuanian
,nds,dolnoněmčina,Low German
,loz,,Lozi
,lub,,Luba-Katanga
,lua,,Luba-Lulua
,lui,,Luiseńo
,smj,,Lule Sami
,lun,,Lunda
,luo,,Luo (Kenya and Tanzania)
,lus,,Lushai
mk,mac,makedonština,Macedonian
,mad,,Madurese
,mag,,Magahi
,mai,,Maithili
,mak,,Makasar
mg,mlg ,malgašština,Malagasy
ms,may,malajština,Malay
ml,mal,malajálamština,Malayalam
mt,mlt,maltština,Maltese
,mdr,,Mandar
,man,,Mandingo
,mnc,mandžuština,Manchu
,mni,,Manipuri
,mno,,Manobo languages
,glv ,manština,Manx
mi,mao,maorština,Maori
,arn,,Mapuche
mr,mar,maráthí,Marathi
,chm,marijština,Mari
,mah,,Marshallese
,mwr,,Marwari
,mas,masajština,Masai
,myn,mayské jazyky,Mayan languages
,men,,Mende
,mic,,Micmac
,min,,Minangkabau
,mis,různé jazyky,Miscellaneous languages
,moh,,Mohawk
mo,mol,moldavština,Moldavian
mn,mon,mongolština,Mongolian
,lol,,Mongo-Nkundu
,mkh,mon-khmerské jazyky (jiné),Mon-Khmer (Other)
,mos,,Mooré
,mul,více jazyků,Multiple languages
,mun,mundské jazyky (jiné),Munda (Other)
,nah,,Nahuatl
na,nau,naurština,Nauru
,nav,navažština,Navajo
,nbl,ndebele (Jižní Afrika),Ndebele (South Africa)
,nde,ndebele (Zimbabwe),Ndebele (Zimbabwe)
,ndo,,Ndonga
,nap,neapolština,Neapolitan Italian
ne,nep,nepálština,Nepali
,new,,Newari
,nia,,Nias
,nic,nigero-kordofánské jazyky (jiné),Niger-Kordofanian (Other)
,ssa,nilo-saharské jazyky (jiné),Nilo-Saharan (Other)
,niu,,Niuean
,nog,,Nogai
,nai,severoamerické indiánské jazyky (jiné),North American Indian (Other)
,sme,,Northern Sami
,nso,severní sotho,Northern Sotho
no,nor,norština,Norwegian
,nob,norština (Bokmĺl),Norwegian (Bokmĺl)
,nno,norština (Nynorsk),Norwegian (Nynorsk)
,nub,núbijské jazyky,Nubian languages
,nym,,Nyamwezi
,nya,,Nyanja
,nyn,,Nyankole
,nyo,,Nyoro
,nzi,,Nzima
oc,oci ,okcitánština,Occitan (post-1500)
,oji,odžibvejština,Ojibwa
,non,,Old Norse
,peo,staroperština,Old Persian (ca. 600-400 B.C.)
,ori,urijština,Oriya
or,orm,,Oromo (Afan)
om,osa,,Osage
,oss,osetština,Ossetic
,oto,otomijské jazyky,Otomian languages
,pal,,Pahlavi
,pau,palauština,Palauan
,pli,pálí,Pali
,pam,,Pampanga
,pag,,Pangasinan
pa,pan,pandžábština,Panjabi (Punjabi)
,pap,,Papiamento
,paa,papuánské jazyky (jiné),Papuan (Other)
ps,pus,paštština,Pashto, Pushto
fa,per,perština,Persian
,phi,filipínské jazyky (jiné),Philippine (Other)
,phn,féničtina,Phoenician
pl,pol,polština,Polish
,pon,,Ponape
pt,por,portugalština,Portuguese
,pra,prákritské jazyky,Prakrit languages
,pro,provensálština,Provençal (to 1500)
qu,que,kečujština,Quechua
,raj,rádžastánština,Rajasthani
,rap,,Rapanui
,rar,,Rarotongan
rm,roh,rétorománština,Rhaeto-Romance, Raeto-Romance
,roa,románské jazyky (jiné),Romance (Other)
,rom,romština,Romani
ro,rum,rumunština,Romanian
rn,run,,Rundi (Kirundi?)
ru,rus,ruština,Russian
,sal,,Salishan languages
,sam,,Samaritan Aramaic
,smi ,laponština,Sami
sm,smo ,samojština,Samoan
,sad,,Sandawe
sg,sag,,Sango (Ubangi Creole) (Sangho?)
sa,san,sanskrt,Sanskrit
,sat,,Santali
,srd,sardština,Sardinian
,sas,,Sasak
,sco,,Scots
gd,gla ,skotština,Scottish Gaelic
,sel,,Selkup
,sem,semitské jazyky (jiné),Semitic (Other)
sr,scc,srbština,Serbian
,srr,,Serer
,shn,šanština,Shan
sn,sna ,,Shona
,sid,,Sidamo
,sgn,znakové jazyky,Sign languages
,iii,yi,Sichan Yi
,bla,,Siksika
sd,snd,,Sindhi
si,sin ,sinhálština,Sinhalese
,sit,tibetočínské jazyky (jiné),Sino-Tibetan (Other)
,sio,,Siouan (Other)
,sms,,Skolt Sami
,den,,Slave
,sla,slovanské jazyky (jiné),Slavic (Other)
sk,slo,slovenština,Slovak
sl,slv,slovinština,Slovenian
,sog,sogdština,Sogdian
so,som,somálština,Somali
,son,,Songhai
,snk,,Soninke
,wen,lužickosrbské jazyky,Sorbian languages
st,sot,sesotho,Sotho (Sesotho?)
,sai,jihoamerické indiánské jazyky (jiné),South American Indian (Other)
,sma,,Southern Sami
es,spa,španělština,Spanish
,suk,,Sukuma
,sux,sumerština,Sumerian
su,sun,sundština,Sundanese
,sus,,Susu
sw,swa,svahilština,Swahili
,swa ,svazijština,Swazi
sv,swe,švédština,Swedish
,syr,,Syriac
tl,tgl ,tagalština,Tagalog
,tah,tahitština,Tahitian
,tai,,Tai (Other)
tg,tgk ,tádžičtina,Tajik
,tmh,,Tamashek
ta,tam,tamilština,Tamil
tt,tat ,tatarština,Tatar
te,tel,,Telugu
,tem,,Temne
,ter,,Terena
,tet,,Tetum
th,tha,thajština,Thai
bo,tib,tibetština,Tibetan
,tig,,Tigré
ti,tir,tigriňa,Tigrinya
,tiv,,Tiv
,tli,,Tlingit
,tpi,,Tok Pisin
,tkl,,Tokelauan
,tog,,Tonga (Nyasa)
to,ton,,Tongan
,chk,,Truk
,tru,,Truk
,tsi,,Tsimshian
ts,tso,,Tsonga
tn,tsn,,Tswana (Setswana?)
,Tum,,Tumbuka
,tup,,Tupi languages
tr,tur,turečtina,Turkish
,ota,osmanská turečtina,Turkish, Ottoman
tk,tuk,turkmenština,Turkmen
,tvl,tuvalština,Tuvaluan
,tyv,tuvinština,Tuvinian
tw,twi,,Twi
,udm,udmurtština,Udmurt
,uga,ugaritština,Ugaritic
ug,uig,ujgurština,Uighur
uk,ukr,ukrajinština,Ukrainian
,umb,,Umbundu
,und,nerozlišený jazyk,Undetermined
ur,urd,urdština,Urdu
uz,uzb,uzbečtina,Uzbek
,vai,,Vai
,ven,,Venda
vi,vie,vietnamština,Vietnamese
vo,vol,,Volapük
,vot,,Votic
,wak,,Wakashan languages
,wal,,Walamo
,wln,,Walloon
,war,,Waray
,was,,Washo
cy,wel,velština,Welsh
wo,wol,wolofština,Wolof
xh,xho,xhosa,Xhosa
,sah,jakutština,Yakut
,yao,,Yao (Africa)
,yap,,Yapese
yi,yid,jidiš,Yiddish
yo,yor,jorubština,Yoruba
,ypk,,Yupik languages
,znd,,Zande
,zap,zapotéčtina,Zapotec
,zen,,Zenaga
za,zha,,Zhuang
zu,zul,zulu,Zulu
,zun,,Zuni
